source_name,destination_name,route_type,median_delay_ratio,avg_delay_ratio,total_delay,avg_actual_time,avg_osrm_time,trip_count,sla_breach_count
Gurgaon_Bilaspur_HB (Haryana),Bangalore_Nelmngla_H (Karnataka),FTL,1.6844001999514844,1.697871888251501,2887959.0,1367.2122186495176,786.8346061093248,66,4961
Bangalore_Nelmngla_H (Karnataka),Gurgaon_Bilaspur_HB (Haryana),FTL,1.7345395751989159,1.7123670406657203,2089122.0,1471.7147165259348,841.70205066345,44,3285
Gurgaon_Bilaspur_HB (Haryana),Kolkata_Dankuni_HB (West Bengal),FTL,2.026579314094646,2.231516134606237,1762931.0,1128.8930817610062,512.9143955276031,48,2859
Guwahati_Hub (Assam),Delhi_Airport_H (Delhi),FTL,2.4316702819956615,2.5451369222969604,1131123.0,1661.6657871591908,666.834652594547,17,1137
Gurgaon_Bilaspur_HB (Haryana),Hyderabad_Shamshbd_H (Telangana),FTL,1.8243243243243243,1.8781611089073493,851856.0,1112.077486272117,592.3361805979256,29,1637
Gurgaon_Bilaspur_HB (Haryana),Bhiwandi_Mankoli_HB (Maharashtra),FTL,1.8706467661691542,1.9395230983536127,752356.0,970.6283240568955,505.3494124922696,33,1617
Bangalore_Nelmngla_H (Karnataka),Jaipur_Hub (Rajasthan),FTL,1.93349450394801,1.913989753827213,667568.0,1392.6932515337423,710.1083844580777,14,975
Gurgaon_Bilaspur_HB (Haryana),MAA_Poonamallee_HB (Tamil Nadu),FTL,1.7717842323651452,1.7932831339816389,652077.0,1457.1201970443349,814.679802955665,14,1015
Bhiwandi_Mankoli_HB (Maharashtra),Gurgaon_Bilaspur_HB (Haryana),FTL,1.8933030646992055,1.8811242328051105,573565.0,935.4271079590228,483.4452324665091,26,1265
Bhiwandi_Mankoli_HB (Maharashtra),Delhi_Airport_H (Delhi),FTL,2.144144144144144,2.287915062023958,559387.0,1089.8569948186528,510.18134715025906,19,965
Bhubaneshwar_Hub (Orissa),Bangalore_Nelmngla_H (Karnataka),FTL,2.3413528268714723,2.3444441367929003,545224.0,1347.542492917847,575.2705382436261,13,706
Gurgaon_Bilaspur_HB (Haryana),Bhubaneshwar_Hub (Orissa),FTL,1.930795847750865,1.912925528012439,516457.0,1240.981242672919,635.5216881594373,15,843
Bhiwandi_Mankoli_HB (Maharashtra),Kolkata_Dankuni_HB (West Bengal),FTL,2.029187817258883,1.9728454747567437,498118.0,1477.367316341829,730.5637181409295,9,667
Purnia_Central_H_2 (Bihar),Gurgaon_Bilaspur_HB (Haryana),FTL,2.039087947882736,1.9982476697360376,476868.0,1013.5850945494994,483.1423804226919,18,886
Gurgaon_Bilaspur_HB (Haryana),Pune_Tathawde_H (Maharashtra),FTL,1.7577352472089314,1.7924425285032701,438119.0,932.1508928571428,540.9732142857143,22,1110
