hub,degree_centrality,betweenness_centrality,in_degree,out_degree,clustering_coefficient,source_delay,destination_delay,source_sla_breaches,destination_sla_breaches,total_delay_contribution,total_sla_breaches,norm_betweenness,norm_degree,norm_delay,norm_sla,bottleneck_score
AMD_Memnagar (Gujarat),0.0012195121951219512,0.0,1,1,0.0,839.0,1712.0,48.0,79.0,2551.0,127.0,0.0,0.010989010989010988,0.0002651539027769913,0.0034040043957222115,0.0033241418823053265
Ahmedabad_East_H_1 (Gujarat),0.018292682926829267,0.030302162234557062,17,13,0.03985507246376811,220707.0,305148.0,1701.0,1946.0,525855.0,3647.0,0.12714878019844023,0.31868131868131866,0.035207510472610955,0.09775121284408587,0.14763696228454937
AMD_Rakhial (Gujarat),0.0006097560975609756,0.0,0,1,0.0,2048.0,0.0,63.0,0.0,2048.0,63.0,0.0,0.0,0.0002315672966080599,0.0016886006057519633,0.0003111819150148095
Abohar_DC (Punjab),0.0018292682926829267,0.0,1,2,1.0,116.0,88.0,3.0,5.0,204.0,8.0,0.0,0.02197802197802198,0.0001084386648476036,0.00021442547374628105,0.005553778981779338
Malout_DC (Punjab),0.0018292682926829267,0.0,2,1,1.0,123.0,46.0,2.0,3.0,169.0,5.0,0.0,0.02197802197802198,0.0001061016246569225,0.00013401592109142565,0.00554113328883344
Muktsar_DPC (Punjab),0.007926829268292683,0.004121713120730963,6,7,0.19444444444444445,37085.0,4178.0,156.0,134.0,41263.0,290.0,0.01729483168799056,0.13186813186813187,0.0028500538988240546,0.007772923423302688,0.040898676046031084
Achrol_BgwriDPP_D (Rajasthan),0.0012195121951219512,0.0,1,1,1.0,650.0,172.0,20.0,14.0,822.0,34.0,0.0,0.010989010989010988,0.0001497041173573444,0.0009113082634216945,0.0029213750161053375
Jaipur_Hub (Rajasthan),0.010365853658536586,0.043012916858881825,9,8,0.07692307692307693,66945.0,738113.0,763.0,1607.0,805058.0,2370.0,0.18048348725249613,0.17582417582417584,0.0538506142542892,0.06352354659733576,0.1301164500475903
Addanki_Oilmilrd_D (Andhra Pradesh),0.0012195121951219512,0.0012176520483935772,1,1,0.0,442.0,789.0,3.0,35.0,1231.0,38.0,0.005109304460221419,0.010989010989010988,0.0001770141012998751,0.001018521000294835,0.004732540983699437
Ongole_SubhVRTL_I (Andhra Pradesh),0.00548780487804878,0.00792124882810756,4,5,0.1388888888888889,19498.0,13605.0,217.0,169.0,33103.0,386.0,0.0332377973012632,0.0879120879120879,0.0023051896715109723,0.01034602910825806,0.03573945281758054
Adoor_Town_D (Kerala),0.0018292682926829267,0.0012299290168008453,2,1,0.3333333333333333,4801.0,557.0,74.0,24.0,5358.0,98.0,0.005160818987318061,0.02197802197802198,0.00045258452606961654,0.002626712053391943,0.007807945079593012
Kollam_Central_H_1 (Kerala),0.0036585365853658534,0.006136624056905609,2,4,0.0,2711.0,5714.0,102.0,103.0,8425.0,205.0,0.025749458316942354,0.054945054945054944,0.0006573760193501586,0.005494652764748452,0.023737116066743367
Agra_Central_D_3 (Uttar Pradesh),0.0006097560975609756,0.0,0,1,0.0,754.0,0.0,36.0,0.0,754.0,36.0,0.0,0.0,0.00014516358212973536,0.0009649146318582647,0.00018102809031117354
Kirauli_AchneraRD_D (Uttar Pradesh),0.0018292682926829267,0.0004073721335138916,1,2,0.0,2674.0,754.0,10.0,36.0,3428.0,46.0,0.0017093456718430965,0.02197802197802198,0.00032371345269777233,0.001232946474041116,0.00635864681393119
Agra_Idgah_L (Uttar Pradesh),0.0012195121951219512,0.0,1,1,1.0,1089.0,655.0,15.0,8.0,1744.0,23.0,0.0,0.010989010989010988,0.00021126843323757252,0.000616473237020558,0.002892540841115224
Gurgaon_Bilaspur_HB (Haryana),0.05609756097560976,0.23832051072188573,45,47,0.03798947983635301,9823786.0,5151002.0,22709.0,14600.0,14974788.0,37309.0,1.0,1.0,1.0,1.0,1.0
Agra_Idgah_P (Uttar Pradesh),0.0024390243902439024,0.0,2,2,1.0,12660.0,16924.0,121.0,131.0,29584.0,252.0,0.0,0.03296703296703296,0.0020702169734822056,0.006754402423007853,0.00977247284857997
Delhi_Airport_H (Delhi),0.025609756097560974,0.04673507046235807,20,22,0.06896551724137931,610158.0,2067905.0,1967.0,3746.0,2678063.0,5713.0,0.19610175524043238,0.4505494505494505,0.1789159846070514,0.15312659143906296,0.24897096183913625
AhmedNagar_DC (Maharashtra),0.0024390243902439024,0.0012299290168008453,1,3,0.6666666666666666,796.0,949.0,11.0,18.0,1745.0,29.0,0.005160818987318061,0.03296703296703296,0.00021133520581444914,0.0007772923423302688,0.010217472540122714
Ashti_SavtaHTL_D (Maharashtra),0.0012195121951219512,0.0,1,1,1.0,151.0,79.0,4.0,3.0,230.0,7.0,0.0,0.010989010989010988,0.00011017475184639529,0.00018762228952799593,0.0028029397786435454
Parner_Hindcwk_D (Maharashtra),0.0024390243902439024,0.0008162323844104822,2,2,0.5,713.0,178.0,9.0,6.0,891.0,15.0,0.0034249355287888157,0.03296703296703296,0.00015431142516183,0.00040204776327427695,0.009539370697615925
Pune_Tathawde_H (Maharashtra),0.02621951219512195,0.04190426940877096,23,20,0.06157635467980296,804210.0,865600.0,3892.0,3586.0,1669810.0,7478.0,0.17583156935104186,0.4615384615384615,0.11159233365348559,0.20043421158433622,0.23488887980850184
AMD_Satellite (Gujarat),0.0006097560975609756,0.0,1,0,0.0,0.0,1435.0,0.0,69.0,1435.0,69.0,0.0,0.0,0.00019063570698270215,0.001849419711061674,0.00032507188340492665
Amd_Chandkheda_Dc (Gujarat),0.0024390243902439024,0.000820324707212905,1,3,1.0,488.0,2168.0,18.0,107.0,2656.0,125.0,0.00344210703782103,0.03296703296703296,0.00027216502334903467,0.0033503980272856413,0.010017096664925706
Amdavad_East (Gujarat),0.0006097560975609756,0.0,1,0,0.0,0.0,1523.0,0.0,67.0,1523.0,67.0,0.0,0.0,0.00019651169374784323,0.0017958133426251037,0.00031849992483072635
Anand_Vaghasi_IP (Gujarat),0.004878048780487805,0.003320733939493147,4,4,0.2,812.0,3281.0,45.0,148.0,4093.0,193.0,0.013933899056503633,0.07692307692307691,0.0003681172163207135,0.00517301455412903,0.02497561538774503
Bhavnagar_ChtrGIDC_IP (Gujarat),0.0012195121951219512,0.0012332772809119184,1,1,0.0,1485.0,3738.0,35.0,77.0,5223.0,112.0,0.005174868403798963,0.010989010989010988,0.00044357022819127513,0.003001956632447935,0.005119642740497393
Gandhidham_Sector1A_IP (Gujarat),0.0024390243902439024,0.0020379767556064823,2,2,0.3333333333333333,1662.0,12660.0,28.0,142.0,14322.0,170.0,0.00855141149804245,0.03296703296703296,0.0010511339051914876,0.004556541317108472,0.01218101693993724
Godhra_DC (Gujarat),0.0012195121951219512,0.0008221848539412789,1,1,0.0,1378.0,4177.0,58.0,105.0,5555.0,163.0,0.0034499122691993085,0.010989010989010988,0.0004657387237143074,0.004368919027580477,0.0047264945765381535
